,Date,Return_5d,Return_20d,Return_60d,Realized_Volatility,Z_Score,Ticker
SPY,2022-05-24,-0.035339866173013434,-0.05337654596679975,-0.09508341731384429,0.3386046233839582,-0.8828122455857892,SPY
SPY,2022-05-25,0.01406108515243698,-0.04769099756913431,-0.07296969123455521,0.34056804219639447,-0.5323731283815019,SPY
SPY,2022-05-26,0.04069735931357843,-0.05259342444169879,-0.07152682345996542,0.33551819913369496,0.2429043422310933,SPY
SPY,2022-05-27,0.06578013186246534,0.007912637311467074,-0.04397411205599144,0.321654419842783,1.1354251329700635,SPY
SPY,2022-05-31,0.040335639110269605,-0.0037398691743726342,-0.04155127229078448,0.3216141203664904,0.9361253526455986,SPY
SPY,2022-06-01,0.03985879427790939,-0.01630729006776588,-0.020426553972772266,0.3222779296407093,0.6810974522199754,SPY
SPY,2022-06-02,0.050381246296555604,-0.02719908839474039,0.005853810331581277,0.3103583416976525,1.6927459396326467,SPY
SPY,2022-06-03,0.012903728780910395,-0.007902225230857374,-0.03648636933296523,0.2881766616708806,0.9850039021257199,SPY
SPY,2022-06-06,-0.008356147206474818,0.0010940794743596882,-0.029168775450140405,0.28763506116780047,1.1185209282625321,SPY
SPY,2022-06-07,0.0068051039357299725,0.04412681669516094,-0.007233318492759322,0.2620351566902132,1.3858607837922134,SPY
SPY,2022-06-08,0.003979713758950121,0.030394304163523955,-0.010797297161925234,0.26611791558632847,0.8319967185238905,SPY
SPY,2022-06-09,-0.03821366733582321,0.02212587504055108,-0.05510219916901593,0.2745523873224614,-0.23593027724973956,SPY
SPY,2022-06-10,-0.05051902980220646,-0.00647417585395893,-0.10240358182025944,0.2951904533487256,-1.4428432494507222,SPY
SPY,2022-06-13,-0.08934172376573313,-0.06651406220782785,-0.14715365970638017,0.31063144509759016,-2.373795512291302,SPY
SPY,2022-06-14,-0.10071204761440888,-0.06553530258146689,-0.15893547476800718,0.3106257799590349,-2.063179535009504,SPY
SPY,2022-06-15,-0.07786587560544822,-0.07131649580945953,-0.1466953767171182,0.3050636554962427,-1.4632726141186523,SPY
SPY,2022-06-16,-0.08666305887338988,-0.06433431779614895,-0.18447929446941813,0.29382041397990705,-2.0224740203608427,SPY
SPY,2022-06-17,-0.057361601682850316,-0.05653886588917478,-0.17205866447003204,0.29424047805643316,-1.7478466842842053,SPY
SPY,2022-06-21,0.004507189301357295,-0.03321070662518755,-0.1638213303163225,0.31026268962843384,-1.1278773182392094,SPY
SPY,2022-06-22,0.005716634894829875,-0.052687443486840846,-0.16939349688439342,0.30093661524709264,-1.0713695961197294,SPY
SPY,2022-06-23,0.0013004030897483254,-0.03604271133322723,-0.1671751955155656,0.3034721586776278,-0.8128299822296663,SPY
SPY,2022-06-24,0.06849882666780416,-0.01410506898816799,-0.15119699419758137,0.323761992240724,-0.14140413207098107,SPY
SPY,2022-06-27,0.06212775816481497,-0.03711078891397146,-0.14918557271527388,0.3146585894902203,-0.1835067570852242,SPY
SPY,2022-06-28,0.014877309518521065,-0.07938561847936743,-0.15354188606564445,0.30540596012467874,-0.5478883158097896,SPY
SPY,2022-06-29,0.01589247975997643,-0.07494498317200249,-0.15662164705020287,0.30557196574133166,-0.4943312065847741,SPY
SPY,2022-06-30,-0.002142560344122413,-0.07497829772685904,-0.17057877707216473,0.3055785988509967,-0.6017141697322024,SPY
SPY,2022-07-01,-0.02266211647298144,-0.08266406254641101,-0.15108344364811677,0.2986935811729551,-0.28018276386020335,SPY
SPY,2022-07-05,-0.01706161631572145,-0.06559652421158269,-0.14088956006536668,0.2958336258819581,-0.15475432168146086,SPY
SPY,2022-07-06,0.006830480792905602,-0.06528677835279562,-0.1423099034843719,0.2959315317953781,0.034130267932038674,SPY
SPY,2022-07-07,0.02274280485133673,-0.06030138419633879,-0.12713028391095493,0.29959206903476354,0.6987588632478575,SPY
SPY,2022-07-08,0.030271686189488056,-0.050754058172498895,-0.11268200414258689,0.29823740959909667,0.9499571045595038,SPY
SPY,2022-07-11,0.007842776829356968,-0.03873618589732941,-0.11955616061598184,0.2894410189755212,0.6081905820400787,SPY
SPY,2022-07-12,-0.0029585654164734354,-0.018791306806454022,-0.13722876770108206,0.27228117993319323,0.20310439105341643,SPY
SPY,2022-07-13,-0.011533032873062732,0.014577221167623833,-0.1309384591913949,0.23395005079951056,-0.11915983927696909,SPY
SPY,2022-07-14,-0.028483982946975628,0.015172341666567446,-0.13340536941999181,0.23383489886951192,-0.3006712037501058,SPY
SPY,2022-07-15,-0.00910807467902952,0.020025302195754824,-0.1308789859709708,0.23803541436867404,0.7042274941255621,SPY
SPY,2022-07-18,-0.005933825623407385,0.04622927117455822,-0.13741550283697435,0.2036054432116939,0.13519301416107238,SPY
SPY,2022-07-19,0.03003956320808654,0.07218608488407252,-0.1006610505837876,0.221254773679243,1.9142446254981205,SPY
SPY,2022-07-20,0.04207697122274934,0.05252363444137109,-0.06939421069985541,0.20682031135167103,2.057673823967646,SPY
SPY,2022-07-21,0.055251273076887264,0.0651727024959814,-0.06533651024260956,0.20781408080875638,2.3304580994874713,SPY
SPY,2022-07-22,0.025861388094809756,0.04504559188574864,-0.04639111304108945,0.2107916859156519,1.5246536811628062,SPY
SPY,2022-07-25,0.03565909987040694,0.014073986980227327,-0.047909644445135124,0.1806036508651288,1.481433286242217,SPY
SPY,2022-07-26,-0.0035177758386992775,0.00591888910438132,-0.08235293767968721,0.1854953391972458,0.7452106054205436,SPY
SPY,2022-07-27,0.015882642482871523,0.05356625968832218,-0.02239705898124955,0.18891563911853554,1.9219339439905279,SPY
SPY,2022-07-28,0.018255190253675613,0.06765002639780193,-0.01605861260532715,0.1915852411351997,2.147757312385456,SPY
SPY,2022-07-29,0.042775159505761495,0.09208744702576577,-0.006269109986256849,0.19051578644710784,2.3322718905973074,SPY
SPY,2022-08-01,0.038425527655255864,0.07745778891860611,-0.03849257653698168,0.19078763216529737,1.8803764659395765,SPY
SPY,2022-08-02,0.043925152366961484,0.06833149158451324,-0.009635758318170096,0.19423576934306175,1.4362523011940218,SPY
SPY,2022-08-03,0.033438167810722286,0.08140904139298599,0.011913232550043062,0.19903328239597018,1.759143049034846,SPY
SPY,2022-08-04,0.019947392810610642,0.06473187168195627,0.04467714046245708,0.1953005641813296,1.525508697458586,SPY
SPY,2022-08-05,0.0035922497999973935,0.06380725844517188,0.04050733880434376,0.19555832637177922,1.3113467952841267,SPY
SPY,2022-08-08,0.005404494059078946,0.07485108594585976,0.056076250504255354,0.18865870125131096,1.1487912869461954,SPY
SPY,2022-08-09,0.008062495607711773,0.08014057609636205,0.05298171108520311,0.18511715685561198,0.9289118725942329,SPY
SPY,2022-08-10,0.013367015437384833,0.10865035371757092,0.04999562001410607,0.19109579890403586,1.4865521152998076,SPY
SPY,2022-08-11,0.014052173370767695,0.1113493237212213,0.05427343986068056,0.19000693983018987,1.3985982184220052,SPY
SPY,2022-08-12,0.03296497528790465,0.10897627718074498,0.05051179308667497,0.18811287380011507,1.8015952653710747,SPY
SPY,2022-08-15,0.038426937529842276,0.1228169212973742,0.09914886664549871,0.1813707555975263,1.811618847710218,SPY
SPY,2022-08-16,0.044609454322166675,0.0954191451375439,0.10808865301484905,0.16404173180027198,1.677817250462779,SPY
SPY,2022-08-17,0.01585754817891538,0.08075589540542794,0.0997432426809477,0.16898487533933165,1.2825984862147441,SPY
SPY,2022-08-18,0.01880988238368997,0.07297067786158751,0.08268264612530962,0.16738021806963801,1.253014272837529,SPY
SPY,2022-08-19,-0.011613115993315382,0.06846560340441332,0.0763501479656219,0.17225740632815084,0.682483161831634,SPY
SPY,2022-08-22,-0.036165556084661876,0.0449477275802479,0.04470781117114497,0.1927489841113156,-0.21927092958652455,SPY
SPY,2022-08-23,-0.040377094392856194,0.05490020536927043,0.021764150125043624,0.18638389385617302,-0.5190988378021214,SPY
SPY,2022-08-24,-0.03042309377521013,0.03149312098721624,0.0004743182975861515,0.1655756072138064,-0.48324737729209083,SPY
SPY,2022-08-25,-0.01958455463098907,0.03309763119546316,0.020323392556326647,0.16702007880546862,0.22886541159806276,SPY
SPY,2022-08-26,-0.039868261748046696,-0.016213871506752797,-0.006174738127197599,0.20339658355798243,-1.6630027572774084,SPY
SPY,2022-08-29,-0.025934365940903925,-0.01981640116037464,-0.031195596758010535,0.20432526705317036,-1.823665909689388,SPY
SPY,2022-08-30,-0.034291284940644595,-0.024138541414409076,-0.025843704121265243,0.20652733550561334,-2.092644389797486,SPY
SPY,2022-08-31,-0.044697537422850764,-0.046495524064141036,-0.036190687490823326,0.19778201499906936,-2.043490449149211,SPY
SPY,2022-09-01,-0.055040360184389736,-0.04285694306382948,-0.04235246548073113,0.19867746160295344,-1.6831174903091528,SPY
SPY,2022-09-02,-0.03224707841508612,-0.05134590242821746,-0.04203512527025621,0.2008853650697848,-1.7864303941769464,SPY
SPY,2022-09-06,-0.02948115089464798,-0.05382692848608217,-0.022399359909688,0.2008455726419292,-1.6707892562544482,SPY
SPY,2022-09-07,-0.0010797472513900397,-0.032988749105003046,0.02488041765926141,0.2135832188973905,-1.0502533354551709,SPY
